x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
00000000000010010000000000000000000	HbbbH1	HoxD8	N	NA	2.23703	2.64908	3934	-0.41205	0	NA	NA	NA	NA
00001000000000000000000000001000000	Ets2	Procr	N	NA	2.2916	2.71811	3934	-0.42651	0	NA	NA	NA	NA
01000000000000000000000000000000001	Cdh5	Tbx3	N	Ets1	5.69574	6.15669	3934	-0.46095	0	NA	NA	NA	NA
00000001000000000000100000000000000	FoxH1	Lmo2	N	NA	2.60914	3.08645	3934	-0.47731	0	NA	NA	NA	NA
00100000100000000000000000000000000	Egfl7	FoxO4	N	NA	2.27641	2.76541	3934	-0.489	0	NA	NA	NA	NA
00000000010001000000000000000000000	Gata1	Hhex	N	Cdh5	5.74778	6.25238	3934	-0.5046	0	NA	NA	NA	NA
00000000000000000000000010000000001	Mitf	Tbx3	N	Gata1	5.91098	6.42907	3934	-0.51809	0	NA	NA	NA	NA
00000000000000000000000100001000000	Meis1	Procr	N	Cdh5	5.796	6.33734	3934	-0.54134	0	NA	NA	NA	NA
00000000000000000100000000000000001	Kdr	Tbx3	N	Tbx20,Meis1	10.4248	10.9787	3934	-0.553900000000001	0	NA	NA	NA	NA
00000000000000010000000001000000000	HoxD8	Myb	N	Tbx3	3.57191	4.14073	3934	-0.56882	0	NA	NA	NA	NA
00000000000000010000010000000000000	HoxD8	Lyl1	N	NA	2.03992	2.60915	3934	-0.56923	0	NA	NA	NA	NA
00000000100000000010000000000000000	FoxO4	Kit	N	NA	2.11171	2.69138	3934	-0.57967	0	NA	NA	NA	NA
00000000000001010000000000000000000	Hhex	HoxD8	N	NA	2.03879	2.61989	3934	-0.5811	0	NA	NA	NA	NA
00000100000001000000000000000000000	Etv6	Hhex	N	Cdh5,Notch1	8.40584	8.99216	3934	-0.586320000000001	0	NA	NA	NA	NA
00010010000000000000000000000000000	Ets1	Fli1	N	Cdh5,Kdr,Sox7	13.0456	13.6365	3934	-0.5909	0	NA	NA	NA	NA
00001001000000000000000000000000000	Ets2	FoxH1	N	NA	1.55701	2.16793	3934	-0.61092	0	NA	NA	NA	NA
00100000000000010000000000000000000	Egfl7	HoxD8	N	NA	1.86357	2.47754	3934	-0.61397	0	NA	NA	NA	NA
00000001000000000010000000000000000	FoxH1	Kit	N	NA	2.20962	2.84514	3934	-0.63552	0	NA	NA	NA	NA
00100000000000000000100000000000000	Egfl7	Lmo2	N	Cdh5,Hhex	9.22123	9.88338	3934	-0.66215	0	NA	NA	NA	NA
10000000000000000000000100000000000	Cdh1	Meis1	N	NA	2.85908	3.53391	3934	-0.67483	0	NA	NA	NA	NA
00000000000000000101000000000000000	Kdr	Ldb1	N	Fli1,Cdh1	7.64456	8.35636	3934	-0.7118	0	NA	NA	NA	NA
00000000100000010000000000000000000	FoxO4	HoxD8	N	NA	1.18361	1.90331	3934	-0.7197	0	NA	NA	NA	NA
00000000000000010000000100000000000	HoxD8	Meis1	N	NA	1.90374	2.63852	3934	-0.73478	0	NA	NA	NA	NA
00000010000000000000000000000000010	Fli1	Tbx20	N	Cdh5	5.02113	5.76799	3934	-0.74686	0	NA	NA	NA	NA
00100000000000100000000000000000000	Egfl7	HoxB2	N	NA	1.70803	2.45904	3934	-0.75101	0	NA	NA	NA	NA
00000000000000000000000000000110000	Runx1	Sox17	N	Gfi1b,Itga2b	9.41659	10.1715	3934	-0.754910000000001	0	NA	NA	NA	NA
00000000001000000000000100000000000	Gfi1	Meis1	N	Ets1	5.13844	5.90221	3934	-0.76377	0	NA	NA	NA	NA
00000001000000000000000000000010000	FoxH1	Sox17	N	Gata1,FoxO4	5.69542	6.47217	3934	-0.77675	0	NA	NA	NA	NA
00000000000000000001000000100000000	Ldb1	Notch1	N	Fli1,Mecom	7.72992	8.5331	3934	-0.803179999999999	0	NA	NA	NA	NA
00000010000010000000000000000000000	Fli1	HbbbH1	N	NA	2.77723	3.58788	3934	-0.81065	0	NA	NA	NA	NA
00000000000000010000000000000001000	HoxD8	Sox7	N	NA	1.82749	2.64535	3934	-0.81786	0	NA	NA	NA	NA
00000000000000000000000001001000000	Myb	Procr	N	NA	2.82399	3.64292	3934	-0.81893	0	NA	NA	NA	NA
00000000000000000000000000001000100	Procr	Tal1	N	Cdh5	4.55354	5.38883	3934	-0.83529	0	NA	NA	NA	NA
00000000000000000000000000100100000	Notch1	Runx1	N	Gata1	4.98344	5.88263	3934	-0.89919	0	NA	NA	NA	NA
10000000000000000000000000000010000	Cdh1	Sox17	N	Myb,Runx1,FoxO4	11.3015	12.2111	3934	-0.909599999999999	0	NA	NA	NA	NA
00000000000000000000100001000000000	Lmo2	Myb	N	Tal1	4.67376	5.65261	3934	-0.97885	0	NA	NA	NA	NA
00000000000000000000000100000000010	Meis1	Tbx20	N	Notch1,Gata1	9.93332	10.9374	3934	-1.00408	0	NA	NA	NA	NA
00001000000000000001000000000000000	Ets2	Ldb1	N	NA	1.18619	2.22256	3934	-1.03637	0	NA	NA	NA	NA
00000100000000000000010000000000000	Etv6	Lyl1	N	Fli1	4.73484	5.7729	3934	-1.03806	0	NA	NA	NA	NA
00000000000000000000001000000100000	Mecom	Runx1	N	Gfi1b	4.80486	5.85348	3934	-1.04862	0	NA	NA	NA	NA
10000000000000000000000000000000001	Cdh1	Tbx3	N	NA	2.42739	3.54123	3934	-1.11384	0	NA	NA	NA	NA
00000000000000010010000000000000000	HoxD8	Kit	N	NA	1.27859	2.40351	3934	-1.12492	0	NA	NA	NA	NA
00000000000000000000000100000001000	Meis1	Sox7	N	Notch1,Gata1	9.54414	10.6719	3934	-1.12776	0	NA	NA	NA	NA
00000000000000000000000001000010000	Myb	Sox17	N	Gata1,Cdh1,HbbbH1,Gfi1b,Sox7	36.8123	37.9652	3934	-1.1529	0	NA	NA	NA	NA
00000000000000000001000010000000000	Ldb1	Mitf	N	NA	1.92659	3.08441	3934	-1.15782	0	NA	NA	NA	NA
00000000001000000000000000000100000	Gfi1	Runx1	N	Gfi1b,Myb	8.17597	9.33468	3934	-1.15871	0	NA	NA	NA	NA
00000000000000000000100000100000000	Lmo2	Notch1	N	Cdh5,Ets1	9.29177	10.46	3934	-1.16823	0	NA	NA	NA	NA
00000000001000100000000000000000000	Gfi1	HoxB2	N	NA	1.22346	2.39195	3934	-1.16849	0	NA	NA	NA	NA
00000000000000000000000010000100000	Mitf	Runx1	N	Gata1	4.73961	5.91966	3934	-1.18005	0	NA	NA	NA	NA
00001000000000000000001000000000000	Ets2	Mecom	N	NA	1.51084	2.69366	3934	-1.18282	0	NA	NA	NA	NA
00000000100000000000000000000000010	FoxO4	Tbx20	N	NA	1.73356	2.93856	3934	-1.205	0	NA	NA	NA	NA
00000000010000000001000000000000000	Gata1	Ldb1	N	Tal1,Runx1	6.98887	8.19688	3934	-1.20801	0	NA	NA	NA	NA
00000000000000100010000000000000000	HoxB2	Kit	N	NA	1.17189	2.38501	3934	-1.21312	0	NA	NA	NA	NA
01000000000010000000000000000000000	Cdh5	HbbbH1	N	Notch1	5.07043	6.30997	3934	-1.23954	0	NA	NA	NA	NA
00000000000000001000000000000001000	Itga2b	Sox7	N	NA	2.43235	3.6804	3934	-1.24805	0	NA	NA	NA	NA
00000100000000000000000000000000100	Etv6	Tal1	N	Cdh5,Cdh1	5.66737	6.94867	3934	-1.2813	0	NA	NA	NA	NA
00100000000000000000000000000000100	Egfl7	Tal1	N	Cdh5,Hhex	7.0055	8.30118	3934	-1.29568	0	NA	NA	NA	NA
00000000000000010000000000000000010	HoxD8	Tbx20	N	NA	1.33096	2.65069	3934	-1.31973	0	NA	NA	NA	NA
00000100100000000000000000000000000	Etv6	FoxO4	N	NA	1.30822	2.6373	3934	-1.32908	0	NA	NA	NA	NA
00000000000000000001000000000000010	Ldb1	Tbx20	N	NA	1.81615	3.14694	3934	-1.33079	0	NA	NA	NA	NA
00000100000000010000000000000000000	Etv6	HoxD8	N	NA	0.986509	2.34943	3934	-1.362921	0	NA	NA	NA	NA
00000000000000000000001001000000000	Mecom	Myb	N	Gata1	4.79509	6.15954	3934	-1.36445	0	NA	NA	NA	NA
01000000000000100000000000000000000	Cdh5	HoxB2	N	NA	1.24695	2.63259	3934	-1.38564	0	NA	NA	NA	NA
00000000000000000000001000010000000	Mecom	Pecam1	N	Ldb1	3.83627	5.23877	3934	-1.4025	0	NA	NA	NA	NA
00000100000000100000000000000000000	Etv6	HoxB2	N	NA	0.90418	2.33093	3934	-1.42675	0	NA	NA	NA	NA
00000000001000000000000000000001000	Gfi1	Sox7	N	Cdh5	4.24463	5.73216	3934	-1.48753	0	NA	NA	NA	NA
00000001000000000000001000000000000	FoxH1	Mecom	N	NA	1.5338	3.02442	3934	-1.49062	0	NA	NA	NA	NA
00000000000000000000000001000100000	Myb	Runx1	N	Gfi1b,Gata1,Lyl1,Kdr	20.7783	22.2885	3934	-1.5102	0	NA	NA	NA	NA
00000000000000010000000000000100000	HoxD8	Runx1	N	Myb	2.65016	4.16068	3934	-1.51052	0	NA	NA	NA	NA
00000000000000100000001000000000000	HoxB2	Mecom	N	NA	1.04111	2.5643	3934	-1.52319	0	NA	NA	NA	NA
01000001000000000000000000000000000	Cdh5	FoxH1	N	Gata1	3.45627	4.98028	3934	-1.52401	0	NA	NA	NA	NA
10000000000000001000000000000000000	Cdh1	Itga2b	N	Lyl1,Tal1	7.18314	8.73456	3934	-1.55142	0	NA	NA	NA	NA
00000000000100000000000000010000000	Gfi1b	Pecam1	N	Itga2b,Tal1	7.07527	8.62794	3934	-1.55267	0	NA	NA	NA	NA
00010000001000000000000000000000000	Ets1	Gfi1	N	Cdh5	4.0893	5.64898	3934	-1.55968	0	NA	NA	NA	NA
00000000000000110000000000000000000	HoxB2	HoxD8	N	NA	0.0336521	1.59694	3934	-1.5632879	0	NA	NA	NA	NA
00000000000000000000000000010000010	Pecam1	Tbx20	N	NA	2.06809	3.63737	3934	-1.56928	0	NA	NA	NA	NA
00000001000000000000000000010000000	FoxH1	Pecam1	N	NA	1.47164	3.04375	3934	-1.57211	0	NA	NA	NA	NA
00000000000000000000001000000000001	Mecom	Tbx3	N	NA	2.02995	3.6132	3934	-1.58325	0	NA	NA	NA	NA
00010000000000000000100000000000000	Ets1	Lmo2	N	Cdh5,Fli1,Hhex	14.3316	15.92	3934	-1.5884	0	NA	NA	NA	NA
00000001000000000000000000000000001	FoxH1	Tbx3	N	NA	1.48451	3.08747	3934	-1.60296	0	NA	NA	NA	NA
00000000000000001000000010000000000	Itga2b	Mitf	N	Tbx20	4.9102	6.52316	3934	-1.61296	0	NA	NA	NA	NA
00000000000000000000000100000100000	Meis1	Runx1	N	Myb,Itga2b,Kdr	15.723	17.3521	3934	-1.6291	0	NA	NA	NA	NA
00000000000000100000000000000000001	HoxB2	Tbx3	N	Meis1	2.45745	4.08781	3934	-1.63036	0	NA	NA	NA	NA
00001000000000100000000000000000000	Ets2	HoxB2	N	NA	0.0561441	1.70781	3934	-1.6516659	0	NA	NA	NA	NA
00001000000000000000100000000000000	Ets2	Lmo2	N	Sox7	2.82752	4.49195	3934	-1.66443	0	NA	NA	NA	NA
00001000000000010000000000000000000	Ets2	HoxD8	N	NA	0.0612559	1.7263	3934	-1.6650441	0	NA	NA	NA	NA
00000001000000000000000000100000000	FoxH1	Notch1	N	NA	1.40879	3.08015	3934	-1.67136	0	NA	NA	NA	NA
00000000101000000000000000000000000	FoxO4	Gfi1	N	Gfi1b	2.58124	4.25602	3934	-1.67478	0	NA	NA	NA	NA
00000100000000000001000000000000000	Etv6	Ldb1	N	Cdh1	3.29416	4.97192	3934	-1.67776	0	NA	NA	NA	NA
00000000000000000000100010000000000	Lmo2	Mitf	N	NA	1.89741	3.61755	3934	-1.72014	0	NA	NA	NA	NA
