x	y	z.name	ui.vect	zi.vect	Ixy_ui	cplx	Rxyz_ui	category	Nxy_ui
0000000000000000000000000000000000010000001000	Pecam1	Tal1	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Myb,Nfe2,Notch1,Procr,Runx1,Sfpi1,Sox7,Tbx3,FoxH1,FoxO4,Meis1,Sox17,Tbx20	683.92	3.50321	0	3	3934
0010000000000000010000000000000000000000000000	Cdh5	Hhex	NA	NA	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3	673.123	3.65554	0	3	3934
0000000000000100100000000000000000000000000000	Gata1	HbbbH1	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3	663.155	3.66088	0	3	3934
1000000000000000000001000000000000000000000000	Cbfa2t3h	Ikaros	NA	NA	Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx3,FoxO4,HoxD8,Mecom,Meis1,Tbx20	616.359	3.64273	0	3	3934
0010000000100000000000000000000000000000000000	Cdh5	Fli1	NA	NA	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Ikaros	613.033	3.58988	0	3	3934
0000000000000000000000100001000000000000000000	Itga2b	Lyl1	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Etv2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Ikaros,Kit,Ldb1,Lmo2,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,Ets1,Ets2,Kdr,Sox7	610.831	3.6442	0	3	3934
0000000010000000000000000000000000000000000100	Etv2	Tbx20	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx3,FoxH1	573.971	3.67435	0	3	3934
0000000000000100000000000000000000100000000000	Gata1	Notch1	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Ets2,Fli1,Lmo2	511.784	3.65033	0	3	3934
0000000000000000000100000000000000000000010000	HoxB4	Sox7	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,Itga2b,Kdr,Kit,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Notch1,Pecam1,Procr,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,FoxH1,FoxO4,Ikaros,Myb,Runx1	509.477	3.65943	0	3	3934
0000000000000000000000000000010000100000000000	Meis1	Notch1	NA	NA	Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Lmo2,Lyl1,Mecom,Mitf,Myb,Nfe2,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Cbfa2t3h,Cdh1,Ets2,FoxO4,Kit,Ldb1,Pecam1	483.174	3.66161	0	3	3934
0000000000000100000000000000000000000000100000	Gata1	Sox17	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox7,Tal1,Tbx20,Tbx3,Fli1,Lmo2	450.291	3.65256	0	3	3934
0000000000000000000001000000000000000010000000	Ikaros	Runx1	NA	NA	Cbfa2t3h,Cdh1,Ets1,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,HoxD8,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Cdh5	413.606	3.57376	0	3	3934
1000000000000000000000000000000000000001000000	Cbfa2t3h	Sfpi1	NA	NA	Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx3,FoxO4,Mecom,Meis1	392.167	3.63033	0	3	3934
0000000000000000000000000000000000000000000110	Tbx20	Tbx3	NA	NA	Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Procr,Runx1,Sox17,Sox7,Tal1,Cbfa2t3h,HoxD8,Ldb1,Pecam1,Sfpi1	389.456	3.68109	0	3	3934
0010000000000000000000000000000000000100000000	Cdh5	Procr	NA	NA	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3	378.33	3.64289	0	3	3934
0000000000000000000000000010000000000000001000	Lmo2	Tal1	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,Gfi1,Gfi1b,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tbx20,Tbx3,FoxH1,FoxO4,Gata1,HbbbH1	354.803	3.54592	0	3	3934
0011000000000000000000000000000000000000000000	Cdh5	Egfl7	NA	NA	Cbfa2t3h,Cdh1,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3	331.369	3.51319	0	3	3934
0000000000000000000000000000110000000000000000	Mecom	Meis1	NA	NA	Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,Fli1,FoxO4,Gata1,Gfi1b,HbbbH1,Hhex,HoxB4,Ikaros,Kdr,Kit,Ldb1,Lmo2,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tbx20,Gfi1,HoxB2,Itga2b,Lyl1,Tal1,Tbx3	237.504	3.60588	0	3	3934
0000000000000000000001000000000001000000000000	Ikaros	Nfe2	NA	Gfi1b	Cbfa2t3h,Cdh1,Ets1,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,HbbbH1,HoxD8,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Cdh5,Egfl7,Erg,Hhex,HoxB4,Procr	234.108	5.96835	0	3	3934
1000000000000000000000000000000000000000001000	Cbfa2t3h	Tal1	NA	Lyl1	Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Mitf,Myb,Nfe2,Notch1,Pecam1,Runx1,Sfpi1,Sox17,Sox7,Tbx3,FoxO4,Meis1,Tbx20	213.277	5.62481	0	3	3934
0000000000000100000000000000000001000000000000	Gata1	Nfe2	NA	Gfi1b	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Fli1,Lmo2	210.359	5.88476	0	3	3934
0000000000100000000000001000000000000000000000	Fli1	Kit	NA	NA	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,FoxO4,Gfi1,Gfi1b,Hhex,HoxB4,Ikaros,Itga2b,Kdr,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Gata1,HbbbH1	209.642	3.34231	0	3	3934
0000001010000000000000000000000000000000000000	Ets1	Etv2	NA	Cdh5	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Kdr,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox7,Tal1,Tbx20,Tbx3,HoxD8,Itga2b,Myb	203.472	5.96757	0	3	3934
0010000001000000000000000000000000000000000000	Cdh5	Etv6	NA	NA	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Ikaros	174.851	3.38507	0	3	3934
0000010000000000000000000000000000100000000000	Erg	Notch1	NA	Sox7	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Pecam1,Procr,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,FoxO4,Ikaros,Myb,Runx1	168.53	5.94069	0	3	3934
0000000000000000000000100000000000010000000000	Itga2b	Pecam1	NA	Lyl1	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Etv2,Etv6,Fli1,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Ikaros,Kit,Ldb1,Lmo2,Meis1,Mitf,Myb,Nfe2,Notch1,Procr,Runx1,Sfpi1,Sox17,Tal1,Tbx20,Tbx3,Ets1,Ets2,Mecom	145.129	6.09191	0	3	3934
0000000000000000100000000000000000000000000100	HbbbH1	Tbx20	NA	Gata1	Cdh1,Cdh5,Egfl7,Ets1,Etv2,FoxH1,FoxO4,Gfi1b,Hhex,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx3,Ets2,Etv6,Gfi1,HoxB2,Lmo2	143.56	6.3185	0	3	3934
0000000000000000000000000000000000000000010100	Sox7	Tbx20	NA	Etv2	Cbfa2t3h,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Kdr,Lmo2,Lyl1,Mitf,Myb,Nfe2,Notch1,Procr,Runx1,Sox17,Tal1,Tbx3	141.212	6.21187	0	3	3934
0010000000000000000000000000000000000000001000	Cdh5	Tal1	NA	Fli1	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tbx20,Tbx3,Ikaros	139.709	5.4019	0	3	3934
0010000000000000000000000010000000000000000000	Cdh5	Lmo2	NA	Tal1	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,Hhex,HoxB4,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tbx3,HoxB2	131.836	5.0602	0	3	3934
0000000000000000100000000000000001000000000000	HbbbH1	Nfe2	NA	Gata1	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,FoxH1,FoxO4,Gfi1b,Hhex,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Fli1,Gfi1,Lmo2	128.942	6.08278	0	3	3934
0000000000000000010000000000000000000000010000	Hhex	Sox7	NA	Cdh5	Cbfa2t3h,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Sox17,Tal1,Tbx20,Tbx3,FoxH1,HoxB2,Ikaros,Runx1	120.889	5.9533	0	3	3934
0000000000000000000000000000100000000000100000	Mecom	Sox17	NA	Meis1	Cdh5,Egfl7,Erg,Ets1,Etv6,Fli1,FoxO4,Gata1,Gfi1b,HbbbH1,Hhex,HoxB4,Ikaros,Kit,Ldb1,Lmo2,Mitf,Myb,Nfe2,Notch1,Pecam1,Runx1,Sfpi1,Sox7,Tbx20,Cbfa2t3h,Cdh1,FoxH1,Gfi1,Itga2b,Tal1,Tbx3	113.165	6.21523	0	3	3934
0010000000000000000000000000000000000001000000	Cdh5	Sfpi1	NA	Lyl1	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sox17,Sox7,Tal1,Tbx3,Ikaros	101.759	6.21641	0	3	3934
0000000000000001000000000000000010000000000000	Gfi1b	Myb	NA	Ikaros	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,Fli1,FoxH1,FoxO4,Gata1,Gfi1,HbbbH1,Hhex,HoxB4,HoxD8,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Nfe2,Notch1,Pecam1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Etv6	98.8284	6.11956	0	3	3934
0010000000000000000000000000000000010000000000	Cdh5	Pecam1	NA	Tal1	Cbfa2t3h,Cdh1,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB4,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tbx3,Ikaros	96.9286	5.26292	0	3	3934
0000000000000001000000000000000000000000100000	Gfi1b	Sox17	NA	Gata1,Itga2b	Cdh1,Cdh5,Egfl7,Fli1,FoxO4,Gfi1,HbbbH1,Hhex,HoxD8,Ikaros,Kit,Lyl1,Mecom,Mitf,Myb,Nfe2,Notch1,Runx1,Sox7,Tal1,Tbx3	96.667	10.3508	0	3	3934
0000000000000000000001000001000000000000000000	Ikaros	Lyl1	NA	Cbfa2t3h,Itga2b	Cdh1,Ets1,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,HoxD8,Kdr,Kit,Ldb1,Lmo2,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,Cdh5,Erg,Ets2,Hhex,HoxB4,Procr	88.0743	10.2345	0	3	3934
0000000000000100000000000000000000000000000010	Gata1	Tbx3	NA	Tbx20	Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Etv2,Etv6,FoxH1,FoxO4,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Fli1,HoxD8,Lmo2	87.5527	6.41192	0	3	3934
