x	y	type	ai	info	cplx	Nxy_ai	log_confidence	infOrt	trueOrt	isOrtOk	sign	partial_correlation
0010000000100000000000000000000000000000000000	Cdh5	Fli1	P	NA	613.033	3.58988	3934	609.44312	2	NA	NA	+	0.499529056577823
0000000000000000000000100001000000000000000000	Itga2b	Lyl1	P	NA	610.831	3.6442	3934	607.1868	-2	NA	NA	+	0.534182232126106
0000000010000000000000000000000000000000000100	Etv2	Tbx20	P	NA	573.971	3.67435	3934	570.29665	-2	NA	NA	+	0.525550374946534
0000000000000100000000000000000000100000000000	Gata1	Notch1	P	NA	511.784	3.65033	3934	508.13367	-2	NA	NA	-	-0.50600137134625
0000000000000000000100000000000000000000010000	HoxB4	Sox7	P	NA	509.477	3.65943	3934	505.81757	-2	NA	NA	+	0.481157765884693
0000000000000000000000000000010000100000000000	Meis1	Notch1	P	NA	483.174	3.66161	3934	479.51239	-2	NA	NA	+	0.490521125216264
0000000000000100000000000000000000000000100000	Gata1	Sox17	P	NA	450.291	3.65256	3934	446.63844	2	NA	NA	-	-0.450172978867968
0000000000000000000001000000000000000010000000	Ikaros	Runx1	P	NA	413.606	3.57376	3934	410.03224	2	NA	NA	+	0.422614581673631
1000000000000000000000000000000000000001000000	Cbfa2t3h	Sfpi1	P	NA	392.167	3.63033	3934	388.53667	-2	NA	NA	+	0.413571524525089
0000000000000000000000000000000000000000000110	Tbx20	Tbx3	P	NA	389.456	3.68109	3934	385.77491	1	NA	NA	+	0.435707821562892
0010000000000000000000000000000000000100000000	Cdh5	Procr	P	NA	378.33	3.64289	3934	374.68711	2	NA	NA	+	0.425822553511878
0000000000000000000000000010000000000000001000	Lmo2	Tal1	P	NA	354.803	3.54592	3934	351.25708	-2	NA	NA	+	0.371787210762805
0011000000000000000000000000000000000000000000	Cdh5	Egfl7	P	NA	331.369	3.51319	3934	327.85581	2	NA	NA	+	0.372452181092436
0000000000000000000000000000110000000000000000	Mecom	Meis1	P	NA	237.504	3.60588	3934	233.89812	2	NA	NA	+	0.326159711677207
0000000000000000000001000000000001000000000000	Ikaros	Nfe2	P	Gfi1b	234.108	5.96835	3934	228.13965	-2	NA	NA	+	0.365559997975619
1000000000000000000000000000000000000000001000	Cbfa2t3h	Tal1	P	Lyl1	213.277	5.62481	3934	207.65219	2	NA	NA	+	0.379317485679641
0000000000100000000000001000000000000000000000	Fli1	Kit	P	NA	209.642	3.34231	3934	206.29969	2	NA	NA	+	0.363878380678676
0000000000000100000000000000000001000000000000	Gata1	Nfe2	P	Gfi1b	210.359	5.88476	3934	204.47424	2	NA	NA	+	0.361004952167627
0000001010000000000000000000000000000000000000	Ets1	Etv2	P	Cdh5	203.472	5.96757	3934	197.50443	-2	NA	NA	+	0.363848600403587
0010000001000000000000000000000000000000000000	Cdh5	Etv6	P	NA	174.851	3.38507	3934	171.46593	2	NA	NA	+	0.268021853262516
0000010000000000000000000000000000100000000000	Erg	Notch1	P	Sox7	168.53	5.94069	3934	162.58931	2	NA	NA	+	0.279482256935188
0000000000000000000000100000000000010000000000	Itga2b	Pecam1	P	Lyl1	145.129	6.09191	3934	139.03709	-2	NA	NA	+	0.268649803414869
0000000000000000100000000000000000000000000100	HbbbH1	Tbx20	P	Gata1	143.56	6.3185	3934	137.2415	-2	NA	NA	-	-0.180560068619517
0000000000000000000000000000000000000000010100	Sox7	Tbx20	P	Etv2	141.212	6.21187	3934	135.00013	2	NA	NA	+	0.273205119369326
0010000000000000000000000000000000000000001000	Cdh5	Tal1	P	Fli1	139.709	5.4019	3934	134.3071	-2	NA	NA	+	0.188902927178206
0010000000000000000000000010000000000000000000	Cdh5	Lmo2	P	Tal1	131.836	5.0602	3934	126.7758	2	NA	NA	+	0.274052313128492
0000000000000000100000000000000001000000000000	HbbbH1	Nfe2	P	Gata1	128.942	6.08278	3934	122.85922	2	NA	NA	+	0.210138318697857
0000000000000000010000000000000000000000010000	Hhex	Sox7	P	Cdh5	120.889	5.9533	3934	114.9357	2	NA	NA	+	0.283878077911701
0000000000000000000000000000100000000000100000	Mecom	Sox17	P	Meis1	113.165	6.21523	3934	106.94977	2	NA	NA	+	0.248640988002753
0010000000000000000000000000000000000001000000	Cdh5	Sfpi1	P	Lyl1	101.759	6.21641	3934	95.54259	2	NA	NA	+	0.222815280832464
0000000000000001000000000000000010000000000000	Gfi1b	Myb	P	Ikaros	98.8284	6.11956	3934	92.70884	2	NA	NA	+	0.228742246905038
0010000000000000000000000000000000010000000000	Cdh5	Pecam1	P	Tal1	96.9286	5.26292	3934	91.66568	-2	NA	NA	+	0.228543793467488
0000000000000001000000000000000000000000100000	Gfi1b	Sox17	P	Gata1,Itga2b	96.667	10.3508	3934	86.3162	2	NA	NA	-	-0.217293135592874
0000000000000100000000000000000000000000000010	Gata1	Tbx3	P	Tbx20	87.5527	6.41192	3934	81.14078	-2	NA	NA	-	-0.162675957334757
0010000000000010000000000000000000000000000000	Cdh5	Gfi1	P	NA	83.5822	3.44609	3934	80.13611	2	NA	NA	+	0.200688403052278
0001000000000000000000000000000000000000010000	Egfl7	Sox7	P	Cdh5	84.366	5.51674	3934	78.84926	-2	NA	NA	+	0.193239689162601
0000000000000000000000000001000000010000000000	Lyl1	Pecam1	P	Tal1,Itga2b	86.7715	8.92499	3934	77.84651	2	NA	NA	+	0.253092153587706
0000000000000000000001000001000000000000000000	Ikaros	Lyl1	P	Cbfa2t3h,Itga2b	88.0743	10.2345	3934	77.8398	2	NA	NA	+	0.192921036909057
0100000000000000000000010000000000000000000000	Cdh1	Kdr	P	Fli1	73.8971	5.86596	3934	68.03114	-2	NA	NA	-	-0.216679151560731
0010000000000000000100000000000000000000000000	Cdh5	HoxB4	P	Sox7,Lyl1	64.3475	10.204	3934	54.1435	2	NA	NA	+	0.226679303794903
0000000000000000000000000000001000000000000100	Mitf	Tbx20	P	NA	57.413	3.62341	3934	53.78959	-2	NA	NA	-	-0.170382819716063
0000001000000000000000000000000000100000000000	Ets1	Notch1	P	Cdh5,Etv2	63.7535	10.0659	3934	53.6876	2	NA	NA	+	0.210448748474213
0000000000000100000001000000000000000000000000	Gata1	Ikaros	P	Gfi1b,Nfe2,Sox7	68.5908	15.5999	3934	52.9909	2	NA	NA	+	0.221706990601985
0000000000000000000000010000000000000100000000	Kdr	Procr	P	Cdh5	57.9764	5.65555	3934	52.32085	2	NA	NA	+	0.124690471021318
0000000000000001000000000000000000000010000000	Gfi1b	Runx1	P	Ikaros	55.4321	5.72815	3934	49.70395	2	NA	NA	+	0.118185756265759
0100000001000000000000000000000000000000000000	Cdh1	Etv6	P	Cdh5	53.9664	5.14176	3934	48.82464	2	NA	NA	-	-0.217751375252636
0000000000000000000000001000000000010000000000	Kit	Pecam1	P	Fli1	52.3452	5.84097	3934	46.50423	-2	NA	NA	+	0.165742465291156
0000000000000011000000000000000000000000000000	Gfi1	Gfi1b	P	Sfpi1	49.5369	6.10585	3934	43.43105	2	NA	NA	+	0.140673801866798
1000000000000000000000000100000000000000000000	Cbfa2t3h	Ldb1	P	NA	45.4732	3.1035	3934	42.3697	2	NA	NA	+	0.161076366338066
0000010000000000000000000000100000000000000000	Erg	Mecom	P	Meis1,Sox17	52.6077	10.862	3934	41.7457	2	NA	NA	+	0.169587829728536
0000000000000000000000100000010000000000000000	Itga2b	Meis1	P	NA	39.7658	3.67358	3934	36.09222	2	NA	NA	-	-0.141730975814749
0001000000000000000000000000000000100000000000	Egfl7	Notch1	P	Cdh5,Sox7	43.521	9.13906	3934	34.38194	-2	NA	NA	+	0.102348248709731
0000000000000000000100000000000000010000000000	HoxB4	Pecam1	P	Cdh5,Itga2b	41.3177	10.5163	3934	30.8014	-2	NA	NA	+	0.0589098257337879
0000000000000000000000000000000000000000010010	Sox7	Tbx3	P	Tbx20,Gata1,Erg	48.2392	18.0143	3934	30.2249	-2	NA	NA	+	0.152102158770971
0000010000000000000000000000000000000000010000	Erg	Sox7	P	Cdh5,Notch1,Lyl1	46.1738	15.9553	3934	30.2185	2	NA	NA	+	0.142140231368097
0000000000000000010000010000000000000000000000	Hhex	Kdr	P	Cdh5,Sox7,Tal1	41.8105	12.9156	3934	28.8949	2	NA	NA	+	0.110850808460637
0000000000000000000001000000000000000001000000	Ikaros	Sfpi1	P	Cbfa2t3h,Lyl1	38.7454	10.0122	3934	28.7332	2	NA	NA	+	0.147338797474504
0000000000010000000001000000000000000000000000	FoxH1	Ikaros	P	NA	31.6303	3.09255	3934	28.53775	-2	NA	NA	+	0.117474868312413
0000001000000000000000010000000000000000000000	Ets1	Kdr	P	Cdh5,Etv2,Notch1	42.2236	13.8236	3934	28.4	-2	NA	NA	+	0.180009871977116
0000000000000000010000000000000000000000001000	Hhex	Tal1	P	Cdh5,Fli1	34.6483	8.49979	3934	26.14851	-2	NA	NA	+	0.110208773640239
0100000000000000000000000001000000000000000000	Cdh1	Lyl1	P	Tal1	31.0104	5.3946	3934	25.6158	-2	NA	NA	-	-0.102983148201494
0000000000000000000000000000000000000000110000	Sox17	Sox7	P	Gata1,Cdh5,Tbx20	40.8101	17.4467	3934	23.3634	-2	NA	NA	+	0.0990665877707762
0000000000000000010000000010000000000000000000	Hhex	Lmo2	P	Tal1,Cdh5	31.1867	8.96941	3934	22.21729	1	NA	NA	+	0.116801662205209
0000000000100000010000000000000000000000000000	Fli1	Hhex	P	Cdh5,Kdr,Tal1	33.7511	12.8359	3934	20.9152	2	NA	NA	+	0.10870095862787
0000000000000000100000000000000000100000000000	HbbbH1	Notch1	P	Gata1,Tbx20,Sox17,Nfe2	48.2904	29.1215	3934	19.1689	-2	NA	NA	-	-0.0677512026495009
0000000000001001000000000000000000000000000000	FoxO4	Gfi1b	P	NA	19.7477	2.93278	3934	16.81492	-2	NA	NA	+	0.0857827794055146
0000000001000000000000010000000000000000000000	Etv6	Kdr	P	Cdh5,Cdh1	24.347	7.60431	3934	16.74269	-2	NA	NA	+	0.155291836909393
0000000000000000000000010000000000000000001000	Kdr	Tal1	P	Cdh5,Fli1,HoxB4	25.9759	11.7502	3934	14.2257	2	NA	NA	+	0.0802280748100905
0000000000000100000000000000001000000000000000	Gata1	Mitf	P	Tbx20	19.0302	6.39245	3934	12.63775	2	NA	NA	+	0.101771044972964
0000000000000000000000000000000000000101000000	Procr	Sfpi1	P	Cdh5,Itga2b	23.3603	11.1528	3934	12.2075	-2	NA	NA	+	0.103511349335973
0000000000000000000000000000000011000000000000	Myb	Nfe2	P	Ikaros,Gfi1b	21.8086	10.3417	3934	11.4669	-2	NA	NA	+	0.105749207836144
0000000000011000000000000000000000000000000000	FoxH1	FoxO4	P	Gfi1b	14.4267	3.37967	3934	11.04703	2	NA	NA	+	0.158777039134085
0000000100000000000000000000000000000000010000	Ets2	Sox7	P	NA	12.9529	2.75621	3934	10.19669	-2	NA	NA	+	0.0761279805360582
0000000000000000000000000000000000100100000000	Notch1	Procr	P	Cdh5,Kdr,Sfpi1	24.1084	14.5958	3934	9.5126	-2	NA	NA	+	0.110194796451348
0000000000000000000000000010000000000001000000	Lmo2	Sfpi1	P	Tal1,Cdh5	17.7251	8.4271	3934	9.298	2	NA	NA	+	0.100260703772478
0000000000100000000000000010000000000000000000	Fli1	Lmo2	P	Tal1,Cdh5,Hhex	21.6442	13.6339	3934	8.0103	2	NA	NA	+	0.0850222879681196
0000000000000000000010000000000000000000000010	HoxD8	Tbx3	P	NA	10.235	2.64584	3934	7.58916	1	NA	NA	+	0.0640706519763229
0000000000000000000000100000000000100000000000	Itga2b	Notch1	P	Etv2,Lyl1	18.0664	10.6699	3934	7.3965	2	NA	NA	-	-0.0832629149832673
0100000000000000000000000100000000000000000000	Cdh1	Ldb1	P	Cbfa2t3h	12.1413	5.06406	3934	7.07724	2	NA	NA	-	-0.106710828865789
0100000000000000000000001000000000000000000000	Cdh1	Kit	P	Fli1,Pecam1	16.4313	9.52167	3934	6.90963	2	NA	NA	-	-0.121363543956918
0000010000000000000000000010000000000000000000	Erg	Lmo2	P	Tal1,Cdh5,Hhex	19.1471	13.3551	3934	5.792	-2	NA	NA	+	0.0653773516517668
0100000000100000000000000000000000000000000000	Cdh1	Fli1	P	Tal1,Kdr,Lyl1,Nfe2	24.1073	18.3209	3934	5.7864	2	NA	NA	-	-0.155231798620353
0000000000000000000000000000000000000011000000	Runx1	Sfpi1	P	Ikaros,Sox17,Gfi1b	22.1362	16.723	3934	5.4132	2	NA	NA	+	0.0790552655481503
0000010000000000000000000000010000000000000000	Erg	Meis1	P	Notch1,Cbfa2t3h,Cdh5,Itga2b,Tal1	36.6534	31.8041	3934	4.8493	2	NA	NA	+	0.175992579063096
0000000000010100000000000000000000000000000000	FoxH1	Gata1	P	Ikaros	9.33945	4.86303	3934	4.47642	2	NA	NA	+	0.0345598719380657
0000000000000000000000100000000000000000100000	Itga2b	Sox17	P	Cdh1,Ldb1	12.2104	8.4961	3934	3.7143	2	NA	NA	-	-0.0788453755144282
0000000000000010000100000000000000000000000000	Gfi1	HoxB4	P	Cdh5,Itga2b,Lyl1	19.1088	15.5364	3934	3.5724	-2	NA	NA	+	0.0994708027047058
0000000000000000000000000100100000000000000000	Ldb1	Mecom	P	Kdr	8.39428	5.29352	3934	3.10076	2	NA	NA	+	0.0506349471731987
0000000010000000001000000000000000000000000000	Etv2	HoxB2	P	NA	5.45971	2.62061	3934	2.8391	2	NA	NA	+	0.0424023674527396
0001000000000000010000000000000000000000000000	Egfl7	Hhex	P	Cdh5,Kdr,Sox7	16.4411	14.0432	3934	2.3979	-2	NA	NA	+	0.0836913628354093
0000000000000000000000000000000010000000010000	Myb	Sox7	P	Mitf	8.75766	6.54198	3934	2.21568	2	NA	NA	-	-0.0666733229894472
0000000000000000000000010000000000000000000100	Kdr	Tbx20	P	Etv2,Sox7,Ikaros,HoxB4	26.3401	24.4151	3934	1.925	-2	NA	NA	+	0.0896846556681515
0000000000000100000000000000010000000000000000	Gata1	Meis1	P	Notch1,Ikaros,Sox17,Itga2b	28.029	26.7716	3934	1.2574	-2	NA	NA	-	-0.190261428428965
0001000100000000000000000000000000000000000000	Egfl7	Ets2	P	Sox7	4.45423	4.01118	3934	0.443049999999999	2	NA	NA	+	0.069077581958048
0000100000000000000000000000000100000000000000	Eif2b1	Mrpl19	N	NA	0	0	3934	0	0	NA	NA	NA	NA
0000100000000000000000000000000000001000000000	Eif2b1	Polr2a	N	NA	0	0	3934	0	0	NA	NA	NA	NA
0000000000000000000000000000000100001000000000	Mrpl19	Polr2a	N	NA	0	0	3934	0	0	NA	NA	NA	NA
0000100000000000000000000000000000000000000001	Eif2b1	Ubc	N	NA	0	0	3934	0	0	NA	NA	NA	NA
0000000000000000000000000000000100000000000001	Mrpl19	Ubc	N	NA	0	0	3934	0	0	NA	NA	NA	NA
0000000000000000000000000000000000001000000001	Polr2a	Ubc	N	NA	0	0	3934	0	0	NA	NA	NA	NA
0000000000000000000000000000100000000000010000	Mecom	Sox7	N	Meis1,Sox17,Erg	16.9151	16.919	3934	-0.00390000000000157	0	NA	NA	NA	NA
0000000000000100000000000000000010000000000000	Gata1	Myb	N	Ikaros,Gfi1b,Nfe2	16.3999	16.4153	3934	-0.0153999999999996	0	NA	NA	NA	NA
0000000000001000000000010000000000000000000000	FoxO4	Kdr	N	Sox17,Gfi1b,FoxH1	9.83916	9.8571	3934	-0.0179400000000012	0	NA	NA	NA	NA
0000000001000000000000000000010000000000000000	Etv6	Meis1	N	Erg	5.359	5.37821	3934	-0.0192100000000002	0	NA	NA	NA	NA
0000000000101000000000000000000000000000000000	Fli1	FoxO4	N	Kdr	4.01147	4.0858	3934	-0.0743299999999998	0	NA	NA	NA	NA
0000011000000000000000000000000000000000000000	Erg	Ets1	N	Cdh5,Notch1,Lyl1,Sox7	23.6698	23.7505	3934	-0.0807000000000002	0	NA	NA	NA	NA
0000000000000000000000001000000000000000001000	Kit	Tal1	N	Fli1,Pecam1	9.27338	9.38582	3934	-0.112440000000001	0	NA	NA	NA	NA
0000000000000000100001000000000000000000000000	HbbbH1	Ikaros	N	Gata1,Nfe2,Gfi1b	16.2522	16.3654	3934	-0.113200000000003	0	NA	NA	NA	NA
0000000001000000000000000000000000100000000000	Etv6	Notch1	N	Cdh5,Kdr	7.8073	7.94407	3934	-0.13677	0	NA	NA	NA	NA
0100000000000000010000000000000000000000000000	Cdh1	Hhex	N	Fli1	5.78235	5.942	3934	-0.15965	0	NA	NA	NA	NA
0000000000000000000001001000000000000000000000	Ikaros	Kit	N	Cbfa2t3h	5.61811	5.79529	3934	-0.17718	0	NA	NA	NA	NA
0000000100000000000000000000000010000000000000	Ets2	Myb	N	NA	2.56807	2.76198	3934	-0.19391	0	NA	NA	NA	NA
0000010000000001000000000000000000000000000000	Erg	Gfi1b	N	Ets1	5.82335	6.03857	3934	-0.21522	0	NA	NA	NA	NA
0000000000000000000110000000000000000000000000	HoxB4	HoxD8	N	NA	2.41112	2.62952	3934	-0.2184	0	NA	NA	NA	NA
0000000000000000010000000001000000000000000000	Hhex	Lyl1	N	Cdh5,Fli1	9.2541	9.4794	3934	-0.225300000000001	0	NA	NA	NA	NA
0001000000000000000000001000000000000000000000	Egfl7	Kit	N	Fli1	5.49958	5.7339	3934	-0.23432	0	NA	NA	NA	NA
0000000000000000000000001000000000000100000000	Kit	Procr	N	Cdh5	5.48654	5.75319	3934	-0.26665	0	NA	NA	NA	NA
0000000000000000000000000010000000000000010000	Lmo2	Sox7	N	Tal1,Cdh5,Hhex	14.0324	14.3	3934	-0.2676	0	NA	NA	NA	NA
0000000000000000000000000000000001000001000000	Nfe2	Sfpi1	N	Ikaros	5.93319	6.23796	3934	-0.30477	0	NA	NA	NA	NA
0000000000000100000010000000000000000000000000	Gata1	HoxD8	N	NA	2.32032	2.62724	3934	-0.30692	0	NA	NA	NA	NA
0000000000000000000000000000001000000100000000	Mitf	Procr	N	NA	3.24144	3.57996	3934	-0.33852	0	NA	NA	NA	NA
0000000000000000000000110000000000000000000000	Itga2b	Kdr	N	NA	3.26753	3.61785	3934	-0.35032	0	NA	NA	NA	NA
0000010000000000000000000000000001000000000000	Erg	Nfe2	N	Ets1,Kdr	8.86725	9.22568	3934	-0.35843	0	NA	NA	NA	NA
0000000001000000000000000010000000000000000000	Etv6	Lmo2	N	Cdh5,Fli1,Cdh1	12.4424	12.809	3934	-0.3666	0	NA	NA	NA	NA
0000000000000010000000000000000000000000000010	Gfi1	Tbx3	N	Sox7	5.64149	6.01382	3934	-0.37233	0	NA	NA	NA	NA
0000000000000000001000000000000000000000001000	HoxB2	Tal1	N	NA	2.11783	2.49803	3934	-0.3802	0	NA	NA	NA	NA
0000000000010010000000000000000000000000000000	FoxH1	Gfi1	N	Ikaros	4.36101	4.75096	3934	-0.38995	0	NA	NA	NA	NA
0000000000000000100010000000000000000000000000	HbbbH1	HoxD8	N	NA	2.23703	2.64908	3934	-0.41205	0	NA	NA	NA	NA
0000000100000000000000000000000000000100000000	Ets2	Procr	N	NA	2.2916	2.71811	3934	-0.42651	0	NA	NA	NA	NA
0010000010000000000000000000000000000000000000	Cdh5	Etv2	N	Sox7,Kdr	7.9074	8.34191	3934	-0.43451	0	NA	NA	NA	NA
0100000000000000000000000000000010000000000000	Cdh1	Myb	N	Cbfa2t3h,Lyl1,Runx1	16.5371	16.9771	3934	-0.440000000000001	0	NA	NA	NA	NA
0000010000100000000000000000000000000000000000	Erg	Fli1	N	Cdh5,Kdr,Sox7	11.4889	11.937	3934	-0.4481	0	NA	NA	NA	NA
0000001000000000000001000000000000000000000000	Ets1	Ikaros	N	Mitf	6.02881	6.48094	3934	-0.45213	0	NA	NA	NA	NA
0010000000000000000000000000000000000000000010	Cdh5	Tbx3	N	Ets1	5.69574	6.15669	3934	-0.46095	0	NA	NA	NA	NA
0000000000000000000000000000001000000001000000	Mitf	Sfpi1	N	NA	3.14497	3.61124	3934	-0.46627	0	NA	NA	NA	NA
0000000000010000000000000010000000000000000000	FoxH1	Lmo2	N	NA	2.60914	3.08645	3934	-0.47731	0	NA	NA	NA	NA
0000000000000000000000001000000000000001000000	Kit	Sfpi1	N	Tal1,Cdh5	7.38724	7.86827	3934	-0.48103	0	NA	NA	NA	NA
0000000000000000000000000000000001000010000000	Nfe2	Runx1	N	Ikaros,Gfi1b,Sfpi1	15.0555	15.5418	3934	-0.4863	0	NA	NA	NA	NA
0010000000000000000001000000000000000000000000	Cdh5	Ikaros	N	NA	3.19997	3.68657	3934	-0.4866	0	NA	NA	NA	NA
0001000000001000000000000000000000000000000000	Egfl7	FoxO4	N	NA	2.27641	2.76541	3934	-0.489	0	NA	NA	NA	NA
0000000010000000000000000000010000000000000000	Etv2	Meis1	N	Notch1,Erg,Tbx3	17.386	17.875	3934	-0.489000000000001	0	NA	NA	NA	NA
1000000000000000000010000000000000000000000000	Cbfa2t3h	HoxD8	N	NA	2.10614	2.60725	3934	-0.50111	0	NA	NA	NA	NA
0000000000000000000000000000001000000000000010	Mitf	Tbx3	N	Gata1	5.91098	6.42907	3934	-0.51809	0	NA	NA	NA	NA
0000000000000000000000000000000001000000000010	Nfe2	Tbx3	N	Tbx20,Gata1	10.2219	10.755	3934	-0.533100000000001	0	NA	NA	NA	NA
0000000000000000000001000000000000000000010000	Ikaros	Sox7	N	Etv2,Meis1,Etv6,Egfl7	25.5959	26.1348	3934	-0.538899999999998	0	NA	NA	NA	NA
0000000000000000000000000000010000000100000000	Meis1	Procr	N	Cdh5	5.796	6.33734	3934	-0.54134	0	NA	NA	NA	NA
0000000000000000000010000000000010000000000000	HoxD8	Myb	N	Tbx3	3.57191	4.14073	3934	-0.56882	0	NA	NA	NA	NA
0000000000000000000010000001000000000000000000	HoxD8	Lyl1	N	NA	2.03992	2.60915	3934	-0.56923	0	NA	NA	NA	NA
0000000000001000000000001000000000000000000000	FoxO4	Kit	N	NA	2.11171	2.69138	3934	-0.57967	0	NA	NA	NA	NA
0000000000000000010010000000000000000000000000	Hhex	HoxD8	N	NA	2.03879	2.61989	3934	-0.5811	0	NA	NA	NA	NA
0000000001000000010000000000000000000000000000	Etv6	Hhex	N	Cdh5,Notch1	8.40584	8.99216	3934	-0.586320000000001	0	NA	NA	NA	NA
0000001000100000000000000000000000000000000000	Ets1	Fli1	N	Cdh5,Kdr,Sox7	13.0456	13.6365	3934	-0.5909	0	NA	NA	NA	NA
1000000010000000000000000000000000000000000000	Cbfa2t3h	Etv2	N	HoxB4	5.71947	6.31366	3934	-0.594189999999999	0	NA	NA	NA	NA
0000000100010000000000000000000000000000000000	Ets2	FoxH1	N	NA	1.55701	2.16793	3934	-0.61092	0	NA	NA	NA	NA
0001000000000000000010000000000000000000000000	Egfl7	HoxD8	N	NA	1.86357	2.47754	3934	-0.61397	0	NA	NA	NA	NA
0000000000000000000000000000100000000100000000	Mecom	Procr	N	Erg	5.70776	6.32768	3934	-0.61992	0	NA	NA	NA	NA
0000000000010000000000001000000000000000000000	FoxH1	Kit	N	NA	2.20962	2.84514	3934	-0.63552	0	NA	NA	NA	NA
0000010000000000000000000000000000000000001000	Erg	Tal1	N	Cdh5,Fli1	7.22586	7.87217	3934	-0.64631	0	NA	NA	NA	NA
0000000000001000000001000000000000000000000000	FoxO4	Ikaros	N	Gfi1b	3.75844	4.41119	3934	-0.652750000000001	0	NA	NA	NA	NA
0001000000000000000000000010000000000000000000	Egfl7	Lmo2	N	Cdh5,Hhex	9.22123	9.88338	3934	-0.66215	0	NA	NA	NA	NA
0100000000000000000000000000010000000000000000	Cdh1	Meis1	N	NA	2.85908	3.53391	3934	-0.67483	0	NA	NA	NA	NA
0000000000000000000000100000000000000001000000	Itga2b	Sfpi1	N	Cbfa2t3h,Lyl1,Ikaros,Pecam1	26.055	26.7343	3934	-0.679300000000001	0	NA	NA	NA	NA
1000000000000000000000000000000000100000000000	Cbfa2t3h	Notch1	N	Sfpi1	5.55849	6.26536	3934	-0.70687	0	NA	NA	NA	NA
0000000000000000000000010100000000000000000000	Kdr	Ldb1	N	Fli1,Cdh1	7.64456	8.35636	3934	-0.7118	0	NA	NA	NA	NA
0000000000001000000010000000000000000000000000	FoxO4	HoxD8	N	NA	1.18361	1.90331	3934	-0.7197	0	NA	NA	NA	NA
0000000000000000000010000000010000000000000000	HoxD8	Meis1	N	NA	1.90374	2.63852	3934	-0.73478	0	NA	NA	NA	NA
0001000000000000001000000000000000000000000000	Egfl7	HoxB2	N	NA	1.70803	2.45904	3934	-0.75101	0	NA	NA	NA	NA
0000000000000001100000000000000000000000000000	Gfi1b	HbbbH1	N	Gata1,Nfe2,Sox17,Gfi1,Notch1	38.806	39.559	3934	-0.753	0	NA	NA	NA	NA
0000000000100000000100000000000000000000000000	Fli1	HoxB4	N	Cdh5,Etv2	8.75521	9.50853	3934	-0.75332	0	NA	NA	NA	NA
0000000000000000000000000000000010000000001000	Myb	Tal1	N	Ikaros,Sox7,Gfi1b	13.2147	13.9743	3934	-0.759599999999999	0	NA	NA	NA	NA
0000000000000010000000000000010000000000000000	Gfi1	Meis1	N	Ets1	5.13844	5.90221	3934	-0.76377	0	NA	NA	NA	NA
